COLORS;Blau fosc i cel / Rosa salmó
INICI1;20:45:20
ASPECTENO;20:53:57;x;x;Gol anul·lat al Getafe per falta en atac
ASPECTE;21:05:07;0-1;Lionel Andrés Messi; 
ASPECTE;21:23:55;0-2;Luis Alberto Suárez Díaz; 
ASPECTE;21:27:45;1-2;Jaime Mata Arnaiz; 
FINAL1;21:30:40
INICI2;21:46:18
FINAL2;22:34:33
